iter	Logloss
0	0.5630880874
1	0.4733944138
2	0.411144534
3	0.371209773
4	0.3411793811
5	0.3164859906
6	0.2963961238
7	0.2780646975
8	0.2541721023
9	0.2425134292
10	0.2310069026
11	0.215831854
12	0.2073738497
13	0.2019833955
14	0.1929885351
15	0.187081892
16	0.1841817321
17	0.1812173646
18	0.1779946191
19	0.1715916882
20	0.1692643567
21	0.1670971842
22	0.1639341575
23	0.1611142457
24	0.1593936158
25	0.1577274957
26	0.155937434
27	0.1539684763
28	0.1528606763
29	0.1519788822
30	0.1492248479
31	0.147295953
32	0.1457354515
33	0.1413334519
34	0.1397909518
35	0.13877178
36	0.1369412572
37	0.1339378993
38	0.1329545925
39	0.132141403
40	0.1309266209
41	0.1297974948
42	0.129205945
43	0.1286760443
44	0.1279821162
45	0.1277254005
46	0.1271041675
47	0.1266258734
48	0.1250818184
49	0.1241466405
