iter	Passed	Remaining
0	151	7416
1	166	3990
2	180	2832
3	194	2233
4	208	1875
5	222	1631
6	236	1451
7	251	1318
8	264	1205
9	279	1116
10	292	1035
11	304	964
12	316	901
13	329	847
14	343	800
15	357	759
16	371	721
17	384	684
18	399	651
19	411	617
20	424	586
21	438	558
22	452	530
23	466	505
24	479	479
25	493	455
26	506	431
27	520	408
28	534	386
29	548	365
30	560	343
31	575	323
32	587	302
33	600	282
34	614	263
35	628	244
36	643	225
37	657	207
38	671	189
39	685	171
40	698	153
41	712	135
42	725	118
43	738	100
44	752	83
45	766	66
46	780	49
47	794	33
48	806	16
49	821	0
