iter	Passed	Remaining
0	244	24221
1	314	15405
2	380	12295
3	442	10617
4	507	9633
5	558	8747
6	621	8255
7	682	7850
8	742	7509
9	804	7237
10	863	6988
11	923	6772
12	985	6593
13	1042	6401
14	1107	6275
15	1178	6187
16	1242	6067
17	1309	5964
18	1370	5841
19	1430	5723
20	1489	5602
21	1550	5496
22	1610	5392
23	1690	5353
24	1758	5275
25	1825	5196
26	1888	5105
27	1951	5017
28	2010	4922
29	2068	4826
30	2133	4748
31	2191	4657
32	2256	4582
33	2322	4509
34	2381	4422
35	2440	4337
36	2492	4243
37	2547	4156
38	2600	4067
39	2655	3983
40	2713	3904
41	2772	3828
42	2827	3747
43	2885	3672
44	2942	3596
45	2996	3517
46	3050	3439
47	3109	3368
48	3163	3292
49	3218	3218
50	3280	3151
51	3334	3078
52	3390	3006
53	3446	2936
54	3502	2866
55	3560	2797
56	3618	2729
57	3678	2663
58	3734	2595
59	3784	2523
60	3834	2451
61	3887	2382
62	3959	2325
63	4017	2259
64	4077	2195
65	4139	2132
66	4196	2066
67	4249	1999
68	4304	1934
69	4358	1867
70	4407	1800
71	4457	1733
72	4507	1667
73	4558	1601
74	4615	1538
75	4667	1473
76	4717	1409
77	4771	1345
78	4826	1282
79	4877	1219
80	4929	1156
81	4979	1093
82	5033	1031
83	5083	968
84	5140	907
85	5191	845
86	5243	783
87	5295	722
88	5351	661
89	5404	600
90	5461	540
91	5515	479
92	5568	419
93	5618	358
94	5672	298
95	5725	238
96	5776	178
97	5826	118
98	5877	59
99	5932	0
