iter	Logloss
0	0.5630880874
1	0.4733944138
2	0.411144534
3	0.371209773
4	0.3411793505
5	0.3164859906
6	0.2963959399
7	0.2780646056
8	0.2541720257
9	0.2425134445
10	0.2310068873
11	0.215831808
12	0.2073738344
13	0.2019834262
14	0.1929885045
15	0.1870818614
16	0.184194402
17	0.181229866
18	0.1780070746
19	0.1716042049
20	0.1692744374
21	0.1671068666
22	0.16394384
23	0.1611229783
24	0.1593977063
25	0.1577313565
26	0.1559393031
27	0.1539705446
28	0.1528614423
29	0.1519794643
30	0.1492255526
31	0.1472969182
32	0.1457359724
33	0.1413339421
34	0.1397910744
35	0.1387721784
36	0.1369416708
37	0.1339384509
38	0.1329550828
39	0.1321419546
40	0.130927249
41	0.1297979238
42	0.129206328
43	0.1286766112
44	0.1279826371
45	0.127725998
46	0.1271048033
47	0.1266288379
48	0.1250849667
49	0.1241498271
