iter	Passed	Remaining
0	144	7090
1	159	3818
2	173	2712
3	189	2182
4	205	1852
5	219	1611
6	237	1456
7	253	1331
8	267	1219
9	284	1137
10	299	1061
11	314	997
12	328	934
13	341	879
14	356	832
15	371	790
16	386	749
17	400	711
18	415	677
19	428	642
20	441	609
21	454	578
22	467	548
23	481	521
24	494	494
25	507	468
26	519	442
27	533	419
28	547	396
29	560	373
30	571	350
31	585	329
32	596	307
33	608	286
34	621	266
35	635	246
36	648	228
37	661	209
38	678	191
39	693	173
40	708	155
41	723	137
42	737	120
43	751	102
44	765	85
45	779	67
46	797	50
47	812	33
48	826	16
49	841	0
